artist,title,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Libianca,People,26b3oVLrRUaaybJulow9kz,0.573,0.422,10.0,-7.621,0.0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791.0,5.0
David Guetta & Bebe Rexha,I'm Good (Blue),0OKYQvhHNGVhaMafZlEDGQ,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,0OKYQvhHNGVhaMafZlEDGQ,spotify:track:0OKYQvhHNGVhaMafZlEDGQ,https://api.spotify.com/v1/tracks/0OKYQvhHNGVhaMafZlEDGQ,https://api.spotify.com/v1/audio-analysis/0OKYQvhHNGVhaMafZlEDGQ,175238.0,4.0
Peso Pluma,Por Las Noches,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0.0,-7.19,1.0,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845.0,4.0
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2",nan,,,,,,,,,,,,,,,,,,
Stephen Sanchez,Until I Found You,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10.0,-5.339,1.0,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440.0,3.0
Peso Pluma X Natanael Cano,PRC,nan,,,,,,,,,,,,,,,,,,
Junior H x Peso Pluma,El Azul,nan,,,,,,,,,,,,,,,,,,
Kaarija,Cha Cha Cha,5RX8T3EoTuXcybAxe6oPAw,0.718,0.791,2.0,-5.572,1.0,0.0447,0.00207,0.00292,0.111,0.743,155.082,audio_features,5RX8T3EoTuXcybAxe6oPAw,spotify:track:5RX8T3EoTuXcybAxe6oPAw,https://api.spotify.com/v1/tracks/5RX8T3EoTuXcybAxe6oPAw,https://api.spotify.com/v1/audio-analysis/5RX8T3EoTuXcybAxe6oPAw,175161.0,4.0
JVKE,Golden Hour,5odlY52u43F5BjByhxg7wg,0.515,0.593,4.0,-4.801,1.0,0.0322,0.653,0.162,0.25,0.153,94.467,audio_features,5odlY52u43F5BjByhxg7wg,spotify:track:5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg,209260.0,3.0
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486.0,4.0
