artist,title,spotifyID
Ed Sheeran,Shape Of You,7qiZfU4dY1lWllzX7mPBI3
Eladio Carrion & Bad Bunny,Coco Chanel,
Bad Bunny,Titi Me Pregunto,1IHWl5LamUGEuP4ozKQSXZ
d4vd,Here With Me,78Sw5GDo6AlGwTwanjXbGh
Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf
Taylor Swift,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC
Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d
Imagine Dragons,Bones,0HqZX76SFLDz2aW8aiqi7G
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),3KkXRkHbMCARz0aVfEt68P
Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52",
"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains),0vjeOZ3Ft5jvAi9SBFJm1j
a-ha,Take On Me,2WfaOiMkCvy7F5fcp2zZ8L
Sia,Unstoppable,1yvMUkIOTeUNtNWlWRgANS
Taylor Swift,Cardigan,4R2kfaDFhslZEMJqAFNpdd
Lana Del Rey vs. Cedric Gervais,Summertime Sadness,6PUIzlqotEmPuBfjbwYWOB
The Weeknd Featuring Future,Double Fantasy,
Taylor Swift,Style,4lIxdJw6W3Fg4vUIYCB0S5
Lewis Capaldi,Wish You The Best,3gdPwk2wyOXNRnTA1KXnEr
Ke personajes X Big One X FMK,Un Finde   Crossover #2,
Junior H X Oscar Maydon,Fin de Semana,
Florence + The Machine,Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB
"Metro Boomin, Travis Scott & Young Thug",Trance,5wG3HvLhF6Y5KTGlK0IW3J
Rosa Linn,Snap,76OGwb5RA9h4FxQPT33ekc
Marshmello & Manuel Turizo,El Merengue,
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
Peso Pluma & Blessd,Las Morras,
Adele,Set Fire To The Rain,73CMRj62VK8nUS4ezD2wvi
Taylor Swift,Shake It Off,5xTtaWoae3wi06K5WfVUUH
Taylor Swift,Enchanted,10eBRyImhfqVvkiVEGf0N0
Lil Uzi Vert,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d
Drake & 21 Savage,Rich Flex,
Steve Lacy,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK
BM,M.A (Mejores Amigos),1eIDsKCLwZF6CJK8pOgHX5
Karol G,Mientras Me Curo del Cora,6otePxalBK8AVa20xhZYVQ
Billie Eilish & Khalid,Lovely,7b4eqsDeLUzSrGth8uB2D1
Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX
NLE Choppa,Slut Me Out,5BmB3OaQyYXCqRyN8iR2Yi
Feid & Sean Paul,Nina Bonita,
